MEDIA,DATE,MENTIONS
Online News,12-06-2018 00:00,13224
Online News,13-06-2018 00:00,12728
Online News,14-06-2018 00:00,13142
Online News,15-06-2018 00:00,9882
Online News,16-06-2018 00:00,4071
Online News,17-06-2018 00:00,3850
Online News,18-06-2018 00:00,10227
Online News,19-06-2018 00:00,11544
Online News,20-06-2018 00:00,12219
Online News,21-06-2018 00:00,12305
Online News,22-06-2018 00:00,9041
Online News,23-06-2018 00:00,4265
Online News,24-06-2018 00:00,5086
Online News,25-06-2018 00:00,11862
Online News,26-06-2018 00:00,11623
Online News,27-06-2018 00:00,10691
Online News,28-06-2018 00:00,10204
Online News,29-06-2018 00:00,9288
Online News,30-06-2018 00:00,3963
Online News,01-07-2018 00:00,3850
Online News,02-07-2018 00:00,8745
Online News,03-07-2018 00:00,9692
Online News,04-07-2018 00:00,7137
Online News,05-07-2018 00:00,8520
Online News,06-07-2018 00:00,8104
Online News,07-07-2018 00:00,4052
Online News,08-07-2018 00:00,3602
Online News,09-07-2018 00:00,9962
Online News,10-07-2018 00:00,13639
Online News,11-07-2018 00:00,11054
Online News,12-07-2018 00:00,7750
